FSM,CoverageStrategy,ReductionStrategy,PrioritizationStrategy,SuiteSize,TotalSteps,PreReductionTotalSteps,ReductionRatio,ExecutionTimeSavings,StateCoverage,TransitionCoverage,MutationScore,KilledMutants,TotalMutants,APFD,GenerationTimeMs,MS_TransitionTargetMutation,MS_OutputMutation,MS_TransitionRemoval,MS_TransitionAddition,MS_InputMutation,MS_InitialStateMutation
TlsClientFSM,SequenceCoverage(maxLen=3),DuplicateRemoval,CoverageBasedPrioritization,7,21,21,0.0000,0.0000,0.5500,0.3529,0.2807,847,3017,0.6882,0.04,0.2043,0.3529,0.3529,0.0000,0.3529,1.0000
TlsClientFSM,SequenceCoverage(maxLen=3),DuplicateRemoval,WeightedTransitionPrioritization,7,21,21,0.0000,0.0000,0.5500,0.3529,0.2807,847,3017,0.6887,0.03,0.2043,0.3529,0.3529,0.0000,0.3529,1.0000
TlsClientFSM,SequenceCoverage(maxLen=3),CoveragePreservingReduction,CoverageBasedPrioritization,5,15,21,0.2857,0.2857,0.5500,0.3529,0.2807,847,3017,0.5635,0.03,0.2043,0.3529,0.3529,0.0000,0.3529,1.0000
TlsClientFSM,SequenceCoverage(maxLen=3),CoveragePreservingReduction,WeightedTransitionPrioritization,5,15,21,0.2857,0.2857,0.5500,0.3529,0.2807,847,3017,0.5638,0.03,0.2043,0.3529,0.3529,0.0000,0.3529,1.0000
TlsClientFSM,SequenceCoverage(maxLen=3),SimilarityReduction,CoverageBasedPrioritization,5,15,21,0.2857,0.2857,0.5500,0.3529,0.2807,847,3017,0.5635,0.05,0.2043,0.3529,0.3529,0.0000,0.3529,1.0000
TlsClientFSM,SequenceCoverage(maxLen=3),SimilarityReduction,WeightedTransitionPrioritization,5,15,21,0.2857,0.2857,0.5500,0.3529,0.2807,847,3017,0.5638,0.04,0.2043,0.3529,0.3529,0.0000,0.3529,1.0000
TlsClientFSM,SequenceCoverage(maxLen=3),MutationScorePreserving,CoverageBasedPrioritization,5,15,21,0.2857,0.2857,0.5500,0.3529,0.2807,847,3017,0.5666,50.86,0.2043,0.3529,0.3529,0.0000,0.3529,1.0000
TlsClientFSM,SequenceCoverage(maxLen=3),MutationScorePreserving,WeightedTransitionPrioritization,5,15,21,0.2857,0.2857,0.5500,0.3529,0.2807,847,3017,0.5666,51.02,0.2043,0.3529,0.3529,0.0000,0.3529,1.0000
MqttClientFSM,StateCoverage,DuplicateRemoval,CoverageBasedPrioritization,14,44,44,0.0000,0.0000,1.0000,0.4118,0.3394,803,2366,0.8374,0.07,0.2017,0.4118,0.4118,0.0000,0.4211,1.0000
MqttClientFSM,StateCoverage,DuplicateRemoval,WeightedTransitionPrioritization,14,44,44,0.0000,0.0000,1.0000,0.4118,0.3394,803,2366,0.8374,0.07,0.2017,0.4118,0.4118,0.0000,0.4211,1.0000
MqttClientFSM,StateCoverage,CoveragePreservingReduction,CoverageBasedPrioritization,7,25,44,0.5000,0.4318,1.0000,0.4118,0.3394,803,2366,0.6749,0.06,0.2017,0.4118,0.4118,0.0000,0.4211,1.0000
MqttClientFSM,StateCoverage,CoveragePreservingReduction,WeightedTransitionPrioritization,7,25,44,0.5000,0.4318,1.0000,0.4118,0.3394,803,2366,0.6749,0.06,0.2017,0.4118,0.4118,0.0000,0.4211,1.0000
MqttClientFSM,StateCoverage,SimilarityReduction,CoverageBasedPrioritization,7,25,44,0.5000,0.4318,1.0000,0.4118,0.3394,803,2366,0.6749,0.08,0.2017,0.4118,0.4118,0.0000,0.4211,1.0000
MqttClientFSM,StateCoverage,SimilarityReduction,WeightedTransitionPrioritization,7,25,44,0.5000,0.4318,1.0000,0.4118,0.3394,803,2366,0.6749,0.08,0.2017,0.4118,0.4118,0.0000,0.4211,1.0000
MqttClientFSM,StateCoverage,MutationScorePreserving,CoverageBasedPrioritization,7,25,44,0.5000,0.4318,1.0000,0.4118,0.3394,803,2366,0.6765,39.21,0.2017,0.4118,0.4118,0.0000,0.4211,1.0000
MqttClientFSM,StateCoverage,MutationScorePreserving,WeightedTransitionPrioritization,7,25,44,0.5000,0.4318,1.0000,0.4118,0.3394,803,2366,0.6765,35.09,0.2017,0.4118,0.4118,0.0000,0.4211,1.0000
MqttClientFSM,TransitionCoverage,DuplicateRemoval,CoverageBasedPrioritization,34,132,132,0.0000,0.0000,1.0000,1.0000,0.7929,1876,2366,0.8131,0.22,0.4118,1.0000,1.0000,0.0000,1.0000,1.0000
MqttClientFSM,TransitionCoverage,DuplicateRemoval,WeightedTransitionPrioritization,34,132,132,0.0000,0.0000,1.0000,1.0000,0.7929,1876,2366,0.8112,0.28,0.4118,1.0000,1.0000,0.0000,1.0000,1.0000
